,full_name,stars_growth,openrank_latest
26,microsoft/azuredatastudio,207.21621621621622,234.11
27,microsoft/terminal,173.99638336347198,221.61
16,tensorflow/tensorflow,164.91361043194783,355.63
36,kubernetes/minikube,149.27027027027026,153.8
14,facebook/react-native,142.91544532130777,432.47
39,kubernetes/test-infra,141.4814814814815,124.72
15,nodejs/node,130.7352572145546,429.3
21,apache/spark,129.22408026755852,283.96
29,docker/docs,125.61764705882354,207.68
25,apache/shardingsphere,125.51923076923077,241.28
13,golang/go,115.89413988657844,437.67
3,kubernetes/kubernetes,115.10478359908883,1016.81
0,microsoft/vscode,112.23066485753053,1954.14
19,apache/superset,107.58252427184466,307.13
30,facebook/react,102.05521472392638,203.52
10,apache/airflow,87.1878453038674,466.09
32,apache/pulsar,86.14102564102564,171.45
9,kubernetes/website,85.32727272727273,479.63
12,microsoft/TypeScript,83.71712802768167,458.4
35,apache/flink,80.81428571428572,162.25
17,microsoft/WSL,79.38604651162791,325.16
7,python/cpython,77.99867021276596,595.01
11,microsoft/vcpkg,67.37288135593221,460.99
33,apache/tvm,61.698113207547166,169.57
4,rust-lang/rust,59.4418272662384,948.9
6,microsoft/PowerToys,58.02040816326531,784.08
23,apache/arrow,56.65876777251185,260.04
2,microsoft/winget-pkgs,53.33576642335766,1054.29
8,microsoft/playwright,49.90735146022155,528.94
20,microsoft/fluentui,49.74539877300614,300.89
31,apache/beam,48.6554054054054,200.25
1,pytorch/pytorch,48.48567530695771,1328.6
37,apache/apisix,47.36507936507937,141.47
38,apache/dolphinscheduler,41.61048689138577,132.81
5,google/it-cert-automation-practice,36.36363636363637,890.45
34,microsoft/vscode-jupyter,34.43333333333333,164.84
24,apache/hudi,32.69402985074627,249.36
18,microsoft/onnxruntime,31.325342465753426,315.24
28,apache/iceberg,24.674418604651162,208.44
22,apache/doris,16.848303393213573,276.98
40,flutter/flutter,1.0,0.0
41,electron/electron,1.0,0.0
42,vercel/next.js,1.0,0.0
43,ant-design/ant-design,1.0,0.0
44,angular/angular,1.0,0.0
45,denoland/deno,1.0,0.0
46,huggingface/transformers,1.0,0.0
47,mui/material-ui,1.0,0.0
48,storybookjs/storybook,1.0,0.0
49,mrdoob/three.js,1.0,0.0
50,apple/swift,1.0,0.0
51,bitcoin/bitcoin,1.0,0.0
52,opencv/opencv,1.0,0.0
53,godotengine/godot,1.0,0.0
54,home-assistant/core,1.0,0.0
55,elastic/elasticsearch,1.0,0.0
56,neovim/neovim,1.0,0.0
57,gatsbyjs/gatsby,1.0,0.0
58,vitejs/vite,1.0,0.0
59,strapi/strapi,1.0,0.0
60,scikit-learn/scikit-learn,1.0,0.0
61,redis/redis,1.0,0.0
62,grafana/grafana,1.0,0.0
63,ansible/ansible,1.0,0.0
64,AUTOMATIC1111/stable-diffusion-webui,1.0,0.0
65,obsproject/obs-studio,1.0,0.0
66,cypress-io/cypress,1.0,0.0
67,DefinitelyTyped/DefinitelyTyped,1.0,0.0
68,mastodon/mastodon,1.0,0.0
69,PowerShell/PowerShell,1.0,0.0
70,yt-dlp/yt-dlp,1.0,0.0
71,JuliaLang/julia,1.0,0.0
72,grpc/grpc,1.0,0.0
73,RocketChat/Rocket.Chat,1.0,0.0
74,ultralytics/yolov5,1.0,0.0
75,rails/rails,1.0,0.0
76,go-gitea/gitea,1.0,0.0
77,pandas-dev/pandas,1.0,0.0
78,firstcontributions/first-contributions,1.0,0.0
79,pingcap/tidb,1.0,0.0
80,php/php-src,1.0,0.0
81,istio/istio,1.0,0.0
82,metabase/metabase,1.0,0.0
83,dotnet/aspnetcore,1.0,0.0
84,dbeaver/dbeaver,1.0,0.0
85,type-challenges/type-challenges,1.0,0.0
86,prisma/prisma,1.0,0.0
87,PaddlePaddle/PaddleOCR,1.0,0.0
88,rapid7/metasploit-framework,1.0,0.0
89,ccxt/ccxt,1.0,0.0
90,getsentry/sentry,1.0,0.0
91,odoo/odoo,1.0,0.0
92,ClickHouse/ClickHouse,1.0,0.0
93,files-community/Files,1.0,0.0
94,coolsnowwolf/lede,1.0,0.0
95,laravel/framework,1.0,0.0
96,hashicorp/vault,1.0,0.0
97,alibaba/nacos,1.0,0.0
98,angular/components,1.0,0.0
99,desktop/desktop,1.0,0.0
100,ray-project/ray,1.0,0.0
101,appsmithorg/appsmith,1.0,0.0
102,cockroachdb/cockroach,1.0,0.0
103,SerenityOS/serenity,1.0,0.0
104,yuzu-emu/yuzu,1.0,0.0
105,TeamNewPipe/NewPipe,1.0,0.0
106,open-mmlab/mmdetection,1.0,0.0
107,nextcloud/server,1.0,0.0
108,bevyengine/bevy,1.0,0.0
109,tachiyomiorg/tachiyomi,1.0,0.0
110,Lightning-AI/lightning,1.0,0.0
111,symfony/symfony,1.0,0.0
112,remix-run/remix,1.0,0.0
113,openssl/openssl,1.0,0.0
114,taosdata/TDengine,1.0,0.0
115,envoyproxy/envoy,1.0,0.0
116,PaddlePaddle/Paddle,1.0,0.0
117,ziglang/zig,1.0,0.0
118,logseq/logseq,1.0,0.0
119,lensapp/lens,1.0,0.0
120,directus/directus,1.0,0.0
