org,project,full_name,openrank_latest,activity_latest,recent_stars_avg,early_stars_avg,stars_trend,stars_stability,latest_stars,peak_stars,total_months
apache,airflow,apache/airflow,466.09,1006.9,353.0,244.66666666666666,2.5134125636672304,111.08846633086115,362,691,94
apache,apisix,apache/apisix,141.47,417.67,215.66666666666666,274.3333333333333,1.150169596053036,102.12625160330053,252,542,46
apache,arrow,apache/arrow,260.04,851.72,176.0,107.0,1.652879852823246,74.99806108905324,211,456,86
apache,beam,apache/beam,200.25,640.26,130.0,49.166666666666664,0.31974149724043566,34.16458945349248,148,234,86
apache,dolphinscheduler,apache/dolphinscheduler,132.81,344.39,239.33333333333334,285.0,-1.3369387755102007,122.55640525816776,267,738,49
apache,doris,apache/doris,276.98,1232.36,285.1666666666667,105.16666666666667,4.179543459174713,135.21985413868484,501,676,68
apache,flink,apache/flink,162.25,582.21,209.5,61.333333333333336,2.6295980210265926,176.58964367955429,280,1398,99
apache,hudi,apache/hudi,249.36,610.43,95.0,12.166666666666666,1.6499931647300063,42.59407666608129,134,170,76
apache,iceberg,apache/iceberg,208.44,706.12,130.0,16.333333333333332,2.7122238348653434,47.66544140174078,172,172,53
apache,pulsar,apache/pulsar,171.45,480.42,149.16666666666666,199.33333333333334,1.7987585199610499,153.29565996950566,156,961,79
apache,shardingsphere,apache/shardingsphere,241.28,464.93,136.16666666666666,193.5,0.9290843478894792,121.90874607752397,156,740,87
apache,spark,apache/spark,283.96,854.69,267.0,392.0,-1.4046382189239317,74.22937973769712,299,578,99
apache,superset,apache/superset,307.13,549.37,524.0,14.0,1.8582554981946302,599.7791467351672,515,4589,93
apache,tvm,apache/tvm,169.57,568.9,109.83333333333333,175.16666666666666,-0.9051036378211282,68.78923856651238,159,602,68
docker,docs,docker/docs,207.68,408.11,26.0,34.666666666666664,-0.5906523855890946,74.20350767446051,34,689,79
facebook,react,facebook/react,203.52,536.48,1952.5,2030.1666666666667,-2.6143970315398857,781.4375782525652,2282,8826,99
facebook,react-native,facebook/react-native,432.47,1140.13,742.3333333333334,2845.6666666666665,-17.780283505154642,989.6611794345129,887,9927,97
golang,go,golang/go,437.67,1244.51,1108.3333333333333,698.3333333333334,4.720482374768093,286.68746481026835,1058,2174,99
google,it-cert-automation-practice,google/it-cert-automation-practice,890.45,2634.35,18.5,18.5,-0.2319838056680163,7.762076760407038,22,40,39
kubernetes,kubernetes,kubernetes/kubernetes,1016.81,2700.28,851.3333333333334,554.0,4.292937538651828,296.4385585548233,878,1771,99
kubernetes,minikube,kubernetes/minikube,153.8,392.8,227.16666666666666,257.6666666666667,-1.705973473726838,112.42774134442763,185,622,84
kubernetes,test-infra,kubernetes/test-infra,124.72,601.47,23.833333333333332,3.1666666666666665,0.42300293611420464,28.3277905742905,27,126,84
kubernetes,website,kubernetes/website,479.63,1566.1,54.833333333333336,10.666666666666666,0.9375253549695739,61.35818224045505,55,552,86
microsoft,azuredatastudio,microsoft/azuredatastudio,234.11,534.77,38.833333333333336,601.3333333333334,-5.6666083916083965,298.12647965221487,37,2445,65
microsoft,fluentui,microsoft/fluentui,300.89,616.95,179.5,135.83333333333334,1.4176829268292672,124.55696461185175,326,727,81
microsoft,onnxruntime,microsoft/onnxruntime,315.24,919.0,199.66666666666666,125.66666666666667,1.562238538376163,80.27099764005787,292,504,52
microsoft,playwright,microsoft/playwright,528.94,980.05,1075.8333333333333,2468.5,-26.423279352226746,1070.1563496773572,993,7369,39
microsoft,PowerToys,microsoft/PowerToys,784.08,1531.29,1734.3333333333333,1972.0,-14.592622571692885,1236.8153412375295,1666,5936,47
microsoft,terminal,microsoft/terminal,221.61,396.49,594.0,65.83333333333333,-8.727029812573955,4633.092405218584,553,38643,68
microsoft,TypeScript,microsoft/TypeScript,458.4,1225.38,981.5,464.8333333333333,3.3875324675324725,264.1452872613273,1156,1586,99
microsoft,vcpkg,microsoft/vcpkg,460.99,1128.48,261.0,115.5,2.419036027263876,101.85924858053293,295,575,79
microsoft,vscode,microsoft/vscode,1954.14,4303.48,1429.8333333333333,2363.0,-3.5941777323799866,795.9869787214832,1474,7903,89
microsoft,vscode-jupyter,microsoft/vscode-jupyter,164.84,364.19,36.0,48.333333333333336,-0.5211822660098521,13.800084440280013,30,97,29
microsoft,winget-pkgs,microsoft/winget-pkgs,1054.29,1733.53,120.16666666666667,514.5,-12.136134453781509,344.21173597609,137,2087,35
microsoft,WSL,microsoft/WSL,325.16,943.7,242.0,438.5,-1.4449934190543674,104.93268547371511,215,757,84
nodejs,node,nodejs/node,429.3,1075.49,738.8333333333334,1099.8333333333333,-4.8507482993197195,338.65945958796334,797,2671,99
python,cpython,python/cpython,595.01,1364.92,705.8333333333334,2101.3333333333335,-7.993380229544629,723.8486024757268,752,6357,74
pytorch,pytorch,pytorch/pytorch,1328.6,3257.17,973.5,970.1666666666666,-2.674423897581811,311.4261103732669,1466,2751,75
rust-lang,rust,rust-lang/rust,948.9,2329.43,1293.3333333333333,791.8333333333334,8.367705627705627,315.7389817256735,1401,1653,99
tensorflow,tensorflow,tensorflow/tensorflow,355.63,1112.22,983.0,3879.8333333333335,-40.1948586993531,1658.9528429203333,1227,13674,89
