project,stars_latest,stars_first,stars_growth,technical_fork_latest,technical_fork_first,technical_fork_growth,activity_latest,activity_first,activity_growth,openrank_latest,openrank_first,openrank_growth,change_requests_latest,change_requests_first,change_requests_growth,issues_new_latest,issues_new_first,issues_new_growth
microsoft/azuredatastudio,7682,2445,-2408,1062,97,-86,534.77,423.26,111.50999999999999,234.11,90.2,143.91000000000003,285,6,279,186,246,-60
microsoft/fluentui,16278,24,302,3071,10,28,616.95,72.43,544.52,300.89,13.06,287.83,202,29,173,152,5,147
microsoft/onnxruntime,9215,386,-94,2356,61,20,919.0,335.36,583.64,315.24,34.0,281.24,259,146,113,138,25,113
microsoft/playwright,50657,7369,-6376,2892,141,-58,980.05,237.78,742.27,528.94,39.8,489.14000000000004,318,158,160,357,76,281
microsoft/PowerToys,97763,4037,-2371,6753,115,8,1531.29,330.11,1201.1799999999998,784.08,63.29,720.7900000000001,41,15,26,669,118,551
microsoft/terminal,96605,120,433,10515,21,35,396.49,56.17,340.32,221.61,8.31,213.3,39,15,24,83,12,71
microsoft/TypeScript,97168,260,896,16149,53,93,1225.38,532.68,692.7000000000002,458.4,67.79,390.60999999999996,193,73,120,352,224,128
microsoft/vcpkg,19981,317,-22,7537,40,76,1128.48,142.24,986.24,460.99,21.67,439.32,304,33,271,275,66,209
microsoft/vscode,166119,7903,-6429,36801,894,-453,4303.48,1302.02,3001.4599999999996,1954.14,216.48,1737.66,763,84,679,2096,731,1365
microsoft/vscode-jupyter,1042,97,-67,245,12,-5,364.19,842.61,-478.42,164.84,220.5,-55.66,101,58,43,147,1022,-875
microsoft/winget-pkgs,7385,2087,-1950,6223,595,-397,1733.53,1426.79,306.74,1054.29,158.0,896.29,2827,1025,1802,82,120,-38
microsoft/WSL,17141,638,-423,987,20,-4,943.7,808.25,135.45000000000005,325.16,140.55,184.61,4,1,3,129,317,-188
