Project Type,Count,Avg OpenRank,Avg Stars
Other,20,6.64,28993.95
Big Data/Database,16,121.27,29938.69
AI/ML,15,192.3,51474.27
Frontend Framework,12,78.07,92092.08
Programming Languages,11,219.17,74849.73
Development Tools,10,402.3,59592.4
Backend Framework,7,0.0,32060.29
Utilities,6,306.4,39816.5
Cloud/Infrastructure,6,106.35,25370.5
DevOps/CI-CD,4,253.79,24177.75
Container Orchestration,3,390.2,54511.33
Blockchain,2,0.0,58922.5
Documentation/Websites,2,343.66,4482.0
Game Development,2,0.0,25629.0
Monitoring Tools,1,0.0,55075.0
Knowledge Management,1,0.0,22368.0
Social Networks,1,0.0,43859.0
Mobile Development,1,0.0,175781.0
Financial Tools,1,0.0,30491.0
