organization,project,full_name,stars,activity
facebook,react,facebook/react,233680,536.48
tensorflow,tensorflow,tensorflow/tensorflow,202799,1112.22
flutter,flutter,flutter/flutter,175781,3294.44
microsoft,vscode,microsoft/vscode,166119,4303.48
facebook,react-native,facebook/react-native,127055,1140.13
golang,go,golang/go,123271,1244.51
electron,electron,electron/electron,119585,593.64
vercel,next.js,vercel/next.js,115322,1682.91
ant-design,ant-design,ant-design/ant-design,108380,988.92
angular,angular,angular/angular,104686,639.83
nodejs,node,nodejs/node,104521,1075.49
kubernetes,kubernetes,kubernetes/kubernetes,101453,2700.28
microsoft,PowerToys,microsoft/PowerToys,97763,1531.29
microsoft,TypeScript,microsoft/TypeScript,97168,1225.38
microsoft,terminal,microsoft/terminal,96605,396.49
denoland,deno,denoland/deno,94874,639.09
huggingface,transformers,huggingface/transformers,94731,1457.42
mui,material-ui,mui/material-ui,92083,779.75
storybookjs,storybook,storybookjs/storybook,83946,848.15
mrdoob,three.js,mrdoob/three.js,83797,352.04
rust-lang,rust,rust-lang/rust,83668,2329.43
apple,swift,apple/swift,74417,909.16
bitcoin,bitcoin,bitcoin/bitcoin,73816,549.45
opencv,opencv,opencv/opencv,71947,363.08
pytorch,pytorch,pytorch/pytorch,71375,3257.17
godotengine,godot,godotengine/godot,64681,2570.24
home-assistant,core,home-assistant/core,63994,4327.19
elastic,elasticsearch,elastic/elasticsearch,62696,952.49
neovim,neovim,neovim/neovim,62439,682.46
gatsbyjs,gatsby,gatsbyjs/gatsby,60548,208.18
python,cpython,python/cpython,58933,1364.92
vitejs,vite,vitejs/vite,57241,667.5
strapi,strapi,strapi/strapi,57130,625.7
scikit-learn,scikit-learn,scikit-learn/scikit-learn,56009,549.4
redis,redis,redis/redis,55978,381.56
apache,superset,apache/superset,55580,549.37
grafana,grafana,grafana/grafana,55075,2262.57
ansible,ansible,ansible/ansible,54645,407.1
AUTOMATIC1111,stable-diffusion-webui,AUTOMATIC1111/stable-diffusion-webui,54472,2177.98
microsoft,playwright,microsoft/playwright,50657,980.05
obsproject,obs-studio,obsproject/obs-studio,50559,470.63
cypress-io,cypress,cypress-io/cypress,46368,794.09
DefinitelyTyped,DefinitelyTyped,DefinitelyTyped/DefinitelyTyped,44029,1021.96
mastodon,mastodon,mastodon/mastodon,43859,675.96
PowerShell,PowerShell,PowerShell/PowerShell,43546,455.94
yt-dlp,yt-dlp,yt-dlp/yt-dlp,43526,732.87
JuliaLang,julia,JuliaLang/julia,43350,632.16
grpc,grpc,grpc/grpc,40923,483.36
RocketChat,Rocket.Chat,RocketChat/Rocket.Chat,40153,692.27
ultralytics,yolov5,ultralytics/yolov5,39605,397.81
rails,rails,rails/rails,39443,658.19
apache,spark,apache/spark,38758,854.69
go-gitea,gitea,go-gitea/gitea,38194,813.14
pandas-dev,pandas,pandas-dev/pandas,37864,1015.95
firstcontributions,first-contributions,firstcontributions/first-contributions,37446,2643.15
pingcap,tidb,pingcap/tidb,37136,1001.34
php,php-src,php/php-src,35221,442.38
istio,istio,istio/istio,34857,755.86
metabase,metabase,metabase/metabase,33760,747.81
dotnet,aspnetcore,dotnet/aspnetcore,33669,1064.61
dbeaver,dbeaver,dbeaver/dbeaver,33556,535.87
type-challenges,type-challenges,type-challenges/type-challenges,32571,785.99
prisma,prisma,prisma/prisma,32229,838.92
apache,airflow,apache/airflow,31711,1006.9
PaddlePaddle,PaddleOCR,PaddlePaddle/PaddleOCR,31267,600.97
rapid7,metasploit-framework,rapid7/metasploit-framework,30699,305.26
ccxt,ccxt,ccxt/ccxt,30491,432.65
getsentry,sentry,getsentry/sentry,30395,1259.03
odoo,odoo,odoo/odoo,30394,2259.18
ClickHouse,ClickHouse,ClickHouse/ClickHouse,30307,1220.46
files-community,Files,files-community/Files,30175,405.37
coolsnowwolf,lede,coolsnowwolf/lede,30033,245.33
laravel,framework,laravel/framework,30027,604.64
hashicorp,vault,hashicorp/vault,29840,616.69
alibaba,nacos,alibaba/nacos,28326,455.08
kubernetes,minikube,kubernetes/minikube,27732,392.8
angular,components,angular/components,27558,313.75
desktop,desktop,desktop/desktop,27366,383.11
ray-project,ray,ray-project/ray,27146,1221.58
appsmithorg,appsmith,appsmithorg/appsmith,27053,1015.27
cockroachdb,cockroach,cockroachdb/cockroach,27011,1148.48
SerenityOS,serenity,SerenityOS/serenity,26637,630.79
yuzu-emu,yuzu,yuzu-emu/yuzu,26617,302.84
TeamNewPipe,NewPipe,TeamNewPipe/NewPipe,26495,249.07
open-mmlab,mmdetection,open-mmlab/mmdetection,25544,387.96
nextcloud,server,nextcloud/server,25209,888.62
bevyengine,bevy,bevyengine/bevy,24641,791.05
tachiyomiorg,tachiyomi,tachiyomiorg/tachiyomi,24246,215.73
Lightning-AI,lightning,Lightning-AI/lightning,24170,498.86
symfony,symfony,symfony/symfony,23742,722.99
remix-run,remix,remix-run/remix,23229,453.71
openssl,openssl,openssl/openssl,22903,624.39
taosdata,TDengine,taosdata/TDengine,22886,396.59
envoyproxy,envoy,envoyproxy/envoy,22811,972.93
apache,flink,apache/flink,22708,582.21
PaddlePaddle,Paddle,PaddlePaddle/Paddle,22697,2155.78
ziglang,zig,ziglang/zig,22474,560.28
logseq,logseq,logseq/logseq,22368,488.7
lensapp,lens,lensapp/lens,22303,271.45
directus,directus,directus/directus,22241,377.23
