full_name,stars_growth,stars_latest,openrank_latest
microsoft/TypeScript,896,1156,458.4
apache/superset,500,515,307.13
facebook/react,490,2282,203.52
kubernetes/kubernetes,444,878,1016.81
microsoft/terminal,433,553,221.61
rust-lang/rust,368,1401,948.9
microsoft/fluentui,302,326,300.89
golang/go,205,1058,437.67
apache/dolphinscheduler,195,267,132.81
kubernetes/minikube,174,185,153.8
apache/iceberg,165,172,208.44
apache/flink,143,280,162.25
apache/hudi,132,134,249.36
apache/beam,110,148,200.25
kubernetes/website,52,55,479.63
apache/doris,47,501,276.98
kubernetes/test-infra,25,27,124.72
google/it-cert-automation-practice,17,22,890.45
apache/spark,15,299,283.96
docker/docs,10,34,207.68
microsoft/vcpkg,-22,295,460.99
apache/apisix,-24,252,141.47
microsoft/vscode-jupyter,-67,30,164.84
microsoft/onnxruntime,-94,292,315.24
apache/arrow,-133,211,260.04
apache/shardingsphere,-173,156,241.28
apache/airflow,-223,362,466.09
microsoft/WSL,-423,215,325.16
apache/tvm,-443,159,169.57
apache/pulsar,-805,156,171.45
pytorch/pytorch,-1285,1466,1328.6
nodejs/node,-1874,797,429.3
microsoft/winget-pkgs,-1950,137,1054.29
microsoft/PowerToys,-2371,1666,784.08
microsoft/azuredatastudio,-2408,37,234.11
python/cpython,-5605,752,595.01
microsoft/playwright,-6376,993,528.94
microsoft/vscode,-6429,1474,1954.14
facebook/react-native,-9040,887,432.47
tensorflow/tensorflow,-12447,1227,355.63
